epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,376.751,1.04963,0.75331,1.05555,0.66739,0.79703,0.7805,0.53454,1.06973,0.96655,1.08715,0.00016516,0.00016516,0.00016516
43,384.939,1.04677,0.7619,1.05265,0.86135,0.87672,0.92016,0.6344,1.04172,0.72096,1.08071,0.000162408,0.000162408,0.000162408
44,394.091,1.02211,0.71795,1.03878,0.88835,0.88705,0.93486,0.64221,1.02794,0.68773,1.08471,0.000159655,0.000159655,0.000159655
45,403.227,1.01861,0.69999,1.03247,0.86396,0.85976,0.9384,0.64851,1.04238,0.70461,1.08151,0.000156903,0.000156903,0.000156903
46,411.849,1.01413,0.70435,1.03626,0.8246,0.91545,0.91738,0.63567,1.03038,0.70734,1.08327,0.000154151,0.000154151,0.000154151
47,421.091,0.99133,0.69177,1.02682,0.77279,0.84229,0.87482,0.60662,1.05814,0.82308,1.08428,0.000151399,0.000151399,0.000151399
48,429.608,1.00823,0.70109,1.03563,0.86523,0.88369,0.90844,0.6211,1.07437,0.7212,1.10853,0.000148647,0.000148647,0.000148647
49,438.369,1.02222,0.70213,1.03995,0.81929,0.86292,0.89935,0.6153,1.05049,0.81692,1.09067,0.000145894,0.000145894,0.000145894
50,447.475,0.99665,0.68027,1.02757,0.8617,0.86331,0.91658,0.63426,1.04296,0.7194,1.0842,0.000143142,0.000143142,0.000143142
51,455.711,0.99296,0.67273,1.03527,0.86623,0.86558,0.90347,0.63088,1.03033,0.72253,1.0886,0.00014039,0.00014039,0.00014039
52,464.881,0.98476,0.66412,1.02707,0.90015,0.90183,0.94137,0.66014,1.0204,0.65075,1.07555,0.000137638,0.000137638,0.000137638
53,474.051,0.96453,0.65562,1.00985,0.82734,0.81648,0.86556,0.60107,1.02848,0.82263,1.07205,0.000134886,0.000134886,0.000134886
54,483.102,0.98786,0.66177,1.02398,0.85184,0.85458,0.87811,0.60531,1.04509,0.79461,1.08277,0.000132133,0.000132133,0.000132133
55,492.161,0.96692,0.63718,1.01788,0.88466,0.90188,0.93123,0.64604,1.03886,0.65934,1.07534,0.000129381,0.000129381,0.000129381
56,500.926,0.99025,0.65032,1.02255,0.87641,0.89584,0.92265,0.64434,1.02132,0.68053,1.07466,0.000126629,0.000126629,0.000126629
57,509.577,0.96891,0.63917,1.01683,0.85675,0.89556,0.91822,0.64311,1.00159,0.70202,1.06292,0.000123877,0.000123877,0.000123877
